Todos los mensajes del registro de eventos.
Fecha:	2023-07-26 11:07:27
Nombre de sistema:	44-52645
Nombre de controlador:	192.168.133.1
ID de controlador
	44-52645

RobotWare:	5.15.2005
Clave:	8sck58u9TAckcgmgkcTk6cP
Opciones:	
	RW Control module key
	RobotWare OS and English
	644-3 Spanish
		645-1 French
		709-x DeviceNet
			709-1 Master/Slave Single
			840-2 Profibus Fieldbus Adapter
			605-1 Multiple Axis Positioner
			609-1 Fixed Position Events
			618-1 Fieldbus Command Interface
			620-1 File and Serial Channel Handling
			621-1 Logical Cross Connections
			622-1 Analog Signal Interrupt
			623-1 Multitasking
			626-1 Advanced RAPID
			631-1 Electronically Linked Motors

DriveModule1
Clave:	nB7t92OQZI66v
Opciones:	
	RW Drive module 1 key
	ABB standard manipulator
		IRB 4400 Type B
			4400/60 Type B
			Add axes IRB/drive module 4400/940
				R2C2 Standard
					No drive in pos Y2



Mensajes de registro de Común
SeqNo     	Tipo	Categoría           	Código  	Título                                  	Fecha               	Descripción	Argumentos
24760697  	I   	Operativo           	10020   	Estado de error de ejecución            	2023-07-24 19:58:36 	La ejecución del programa de la tarea T_ROB1 se ha detenido a causa de un error espontáneo.	{args: "1", "T_ROB1"}
24760698  	I   	Operativo           	10126   	Programa detenido                       	2023-07-24 19:58:36 	La tarea T_ROB1 se ha detenido. Se debe a que se ha producido un error.	{args: "1", "T_ROB1"}
24760699  	I   	Operativo           	10021   	Restablecimiento de error de ejecución  	2023-07-24 19:58:37 	 La ejecución del programa de la tarea T_ROB1 ha abandonado el estado de error espontáneo. 	{args: "1", "T_ROB1"}
24760700  	I   	Operativo           	10052   	Inicio de recuperación                  	2023-07-24 19:58:37 	El movimiento de recuperación se ha iniciado.	{args: "0"}
24760701  	I   	Operativo           	10053   	Recuperación ejecutada                  	2023-07-24 19:58:37 	El movimiento de recuperación se ha ejecutado en su totalidad.	{args: "0"}
24760702  	I   	Operativo           	10156   	Programa reiniciado                     	2023-07-24 19:58:37 	La ejecución de la tarea T_ROB1 se ha reanudado en el mismo punto en el que se detuvo anteriormente. El origen es un cliente externo.	{args: "1", "T_ROB1"}
24760703  	W   	Programa            	41555   	No hay comunicación con la unidad       	2023-07-24 19:58:37 	Tarea: T_ROB1Se ha perdido el contacto con la unidad Tarjeta_1. Ref. de programa /LOGICA/R_INIT_SIG/Reset/81	{args: "T_ROB1", "Tarjeta_1", "/LOGICA/R_INIT_SIG/Reset/81", "ERR_NORUNUNIT"}
24760704  	E   	Programa            	41555   	No hay comunicación con la unidad       	2023-07-24 19:58:37 	Tarea: T_ROB1Se ha perdido el contacto con la unidad Tarjeta_1. Ref. de programa /LOGICA/R_INIT_SIG/Reset/81	{args: "T_ROB1", "Tarjeta_1", "/LOGICA/R_INIT_SIG/Reset/81", "ERR_NORUNUNIT"}
24760705  	E   	Programa            	40228   	Error de ejecución                      	2023-07-24 19:58:37 	La ejecución de la tarea T_ROB1 ha sido detenida por un error de tiempo de ejecución 41555. 	{args: "T_ROB1", "41555"}
24760706  	I   	Operativo           	10020   	Estado de error de ejecución            	2023-07-24 19:58:37 	La ejecución del programa de la tarea T_ROB1 se ha detenido a causa de un error espontáneo.	{args: "1", "T_ROB1"}
24760707  	I   	Operativo           	10126   	Programa detenido                       	2023-07-24 19:58:37 	La tarea T_ROB1 se ha detenido. Se debe a que se ha producido un error.	{args: "1", "T_ROB1"}
24760708  	I   	Operativo           	10021   	Restablecimiento de error de ejecución  	2023-07-24 19:58:38 	 La ejecución del programa de la tarea T_ROB1 ha abandonado el estado de error espontáneo. 	{args: "1", "T_ROB1"}
24760709  	I   	Operativo           	10052   	Inicio de recuperación                  	2023-07-24 19:58:38 	El movimiento de recuperación se ha iniciado.	{args: "0"}
24760710  	I   	Operativo           	10053   	Recuperación ejecutada                  	2023-07-24 19:58:38 	El movimiento de recuperación se ha ejecutado en su totalidad.	{args: "0"}
24760711  	I   	Operativo           	10156   	Programa reiniciado                     	2023-07-24 19:58:38 	La ejecución de la tarea T_ROB1 se ha reanudado en el mismo punto en el que se detuvo anteriormente. El origen es un cliente externo.	{args: "1", "T_ROB1"}
24760712  	W   	Programa            	41555   	No hay comunicación con la unidad       	2023-07-24 19:58:38 	Tarea: T_ROB1Se ha perdido el contacto con la unidad Tarjeta_1. Ref. de programa /LOGICA/R_INIT_SIG/Reset/81	{args: "T_ROB1", "Tarjeta_1", "/LOGICA/R_INIT_SIG/Reset/81", "ERR_NORUNUNIT"}
24760713  	E   	Programa            	41555   	No hay comunicación con la unidad       	2023-07-24 19:58:38 	Tarea: T_ROB1Se ha perdido el contacto con la unidad Tarjeta_1. Ref. de programa /LOGICA/R_INIT_SIG/Reset/81	{args: "T_ROB1", "Tarjeta_1", "/LOGICA/R_INIT_SIG/Reset/81", "ERR_NORUNUNIT"}
24760714  	E   	Programa            	40228   	Error de ejecución                      	2023-07-24 19:58:38 	La ejecución de la tarea T_ROB1 ha sido detenida por un error de tiempo de ejecución 41555. 	{args: "T_ROB1", "41555"}
24760715  	I   	Operativo           	10020   	Estado de error de ejecución            	2023-07-24 19:58:38 	La ejecución del programa de la tarea T_ROB1 se ha detenido a causa de un error espontáneo.	{args: "1", "T_ROB1"}
24760716  	I   	Operativo           	10126   	Programa detenido                       	2023-07-24 19:58:38 	La tarea T_ROB1 se ha detenido. Se debe a que se ha producido un error.	{args: "1", "T_ROB1"}
24760717  	I   	Operativo           	10021   	Restablecimiento de error de ejecución  	2023-07-24 19:58:44 	 La ejecución del programa de la tarea T_ROB1 ha abandonado el estado de error espontáneo. 	{args: "1", "T_ROB1"}
24760718  	I   	Operativo           	10052   	Inicio de recuperación                  	2023-07-24 19:58:44 	El movimiento de recuperación se ha iniciado.	{args: "0"}
24760719  	I   	Operativo           	10053   	Recuperación ejecutada                  	2023-07-24 19:58:44 	El movimiento de recuperación se ha ejecutado en su totalidad.	{args: "0"}
24760720  	I   	Operativo           	10156   	Programa reiniciado                     	2023-07-24 19:58:44 	La ejecución de la tarea T_ROB1 se ha reanudado en el mismo punto en el que se detuvo anteriormente. El origen es un cliente externo.	{args: "1", "T_ROB1"}
24760721  	W   	Programa            	41555   	No hay comunicación con la unidad       	2023-07-24 19:58:44 	Tarea: T_ROB1Se ha perdido el contacto con la unidad Tarjeta_1. Ref. de programa /LOGICA/R_INIT_SIG/Reset/81	{args: "T_ROB1", "Tarjeta_1", "/LOGICA/R_INIT_SIG/Reset/81", "ERR_NORUNUNIT"}
24760722  	E   	Programa            	41555   	No hay comunicación con la unidad       	2023-07-24 19:58:44 	Tarea: T_ROB1Se ha perdido el contacto con la unidad Tarjeta_1. Ref. de programa /LOGICA/R_INIT_SIG/Reset/81	{args: "T_ROB1", "Tarjeta_1", "/LOGICA/R_INIT_SIG/Reset/81", "ERR_NORUNUNIT"}
24760723  	E   	Programa            	40228   	Error de ejecución                      	2023-07-24 19:58:44 	La ejecución de la tarea T_ROB1 ha sido detenida por un error de tiempo de ejecución 41555. 	{args: "T_ROB1", "41555"}
24760724  	I   	Operativo           	10020   	Estado de error de ejecución            	2023-07-24 19:58:44 	La ejecución del programa de la tarea T_ROB1 se ha detenido a causa de un error espontáneo.	{args: "1", "T_ROB1"}
24760725  	I   	Operativo           	10126   	Programa detenido                       	2023-07-24 19:58:44 	La tarea T_ROB1 se ha detenido. Se debe a que se ha producido un error.	{args: "1", "T_ROB1"}
24760726  	I   	Operativo           	10002   	Puntero de programa restablecido        	2023-07-24 19:58:52 	El puntero de programa de la tarea T_ROB1 se ha restablecido.	{args: "1", "0", "T_ROB1"}
24760727  	I   	Operativo           	10021   	Restablecimiento de error de ejecución  	2023-07-24 19:58:52 	 La ejecución del programa de la tarea T_ROB1 ha abandonado el estado de error espontáneo. 	{args: "1", "T_ROB1"}
24760728  	I   	Operativo           	10052   	Inicio de recuperación                  	2023-07-24 19:58:56 	El movimiento de recuperación se ha iniciado.	{args: "0"}
24760729  	I   	Operativo           	10053   	Recuperación ejecutada                  	2023-07-24 19:58:56 	El movimiento de recuperación se ha ejecutado en su totalidad.	{args: "0"}
24760730  	I   	Operativo           	10151   	Programa iniciado                       	2023-07-24 19:58:56 	La ejecución de la tarea T_ROB1 ha empezado por la primera instrucción de la rutina de entrada de la tarea. El origen es un cliente externo.	{args: "1", "T_ROB1"}
24760731  	W   	Programa            	41555   	No hay comunicación con la unidad       	2023-07-24 19:59:08 	Tarea: T_ROB1Se ha perdido el contacto con la unidad Tarjeta_1. Ref. de programa /MainModule/main/Rearme/25	{args: "T_ROB1", "Tarjeta_1", "/MainModule/main/Rearme/25", "ERR_NORUNUNIT"}
24760732  	E   	Programa            	41555   	No hay comunicación con la unidad       	2023-07-24 19:59:08 	Tarea: T_ROB1Se ha perdido el contacto con la unidad Tarjeta_1. Ref. de programa /MainModule/main/Rearme/25	{args: "T_ROB1", "Tarjeta_1", "/MainModule/main/Rearme/25", "ERR_NORUNUNIT"}
24760733  	E   	Programa            	40228   	Error de ejecución                      	2023-07-24 19:59:08 	La ejecución de la tarea T_ROB1 ha sido detenida por un error de tiempo de ejecución 41555. 	{args: "T_ROB1", "41555"}
24760734  	I   	Operativo           	10020   	Estado de error de ejecución            	2023-07-24 19:59:08 	La ejecución del programa de la tarea T_ROB1 se ha detenido a causa de un error espontáneo.	{args: "1", "T_ROB1"}
24760735  	I   	Operativo           	10126   	Programa detenido                       	2023-07-24 19:59:08 	La tarea T_ROB1 se ha detenido. Se debe a que se ha producido un error.	{args: "1", "T_ROB1"}
24760736  	I   	Operativo           	10002   	Puntero de programa restablecido        	2023-07-24 20:00:19 	El puntero de programa de la tarea T_ROB1 se ha restablecido.	{args: "1", "0", "T_ROB1"}
24760737  	I   	Operativo           	10021   	Restablecimiento de error de ejecución  	2023-07-24 20:00:19 	 La ejecución del programa de la tarea T_ROB1 ha abandonado el estado de error espontáneo. 	{args: "1", "T_ROB1"}
24760738  	I   	Operativo           	10002   	Puntero de programa restablecido        	2023-07-24 20:00:26 	El puntero de programa de la tarea T_ROB1 se ha restablecido.	{args: "1", "0", "T_ROB1"}
24760739  	I   	Operativo           	10052   	Inicio de recuperación                  	2023-07-24 20:00:27 	El movimiento de recuperación se ha iniciado.	{args: "0"}
24760740  	I   	Operativo           	10053   	Recuperación ejecutada                  	2023-07-24 20:00:27 	El movimiento de recuperación se ha ejecutado en su totalidad.	{args: "0"}
24760741  	I   	Operativo           	10151   	Programa iniciado                       	2023-07-24 20:00:27 	La ejecución de la tarea T_ROB1 ha empezado por la primera instrucción de la rutina de entrada de la tarea. El origen es un cliente externo.	{args: "1", "T_ROB1"}
24760742  	W   	Programa            	41555   	No hay comunicación con la unidad       	2023-07-24 20:00:36 	Tarea: T_ROB1Se ha perdido el contacto con la unidad Tarjeta_1. Ref. de programa /LOGICA/R_INIT_SIG/Reset/81	{args: "T_ROB1", "Tarjeta_1", "/LOGICA/R_INIT_SIG/Reset/81", "ERR_NORUNUNIT"}
24760743  	E   	Programa            	41555   	No hay comunicación con la unidad       	2023-07-24 20:00:36 	Tarea: T_ROB1Se ha perdido el contacto con la unidad Tarjeta_1. Ref. de programa /LOGICA/R_INIT_SIG/Reset/81	{args: "T_ROB1", "Tarjeta_1", "/LOGICA/R_INIT_SIG/Reset/81", "ERR_NORUNUNIT"}
24760744  	E   	Programa            	40228   	Error de ejecución                      	2023-07-24 20:00:36 	La ejecución de la tarea T_ROB1 ha sido detenida por un error de tiempo de ejecución 41555. 	{args: "T_ROB1", "41555"}
24760745  	I   	Operativo           	10020   	Estado de error de ejecución            	2023-07-24 20:00:36 	La ejecución del programa de la tarea T_ROB1 se ha detenido a causa de un error espontáneo.	{args: "1", "T_ROB1"}
24760746  	I   	Operativo           	10126   	Programa detenido                       	2023-07-24 20:00:36 	La tarea T_ROB1 se ha detenido. Se debe a que se ha producido un error.	{args: "1", "T_ROB1"}
24760747  	I   	Operativo           	10002   	Puntero de programa restablecido        	2023-07-24 20:00:44 	El puntero de programa de la tarea T_ROB1 se ha restablecido.	{args: "1", "0", "T_ROB1"}
24760748  	I   	Operativo           	10021   	Restablecimiento de error de ejecución  	2023-07-24 20:00:44 	 La ejecución del programa de la tarea T_ROB1 ha abandonado el estado de error espontáneo. 	{args: "1", "T_ROB1"}
24760749  	I   	Operativo           	10052   	Inicio de recuperación                  	2023-07-24 20:00:47 	El movimiento de recuperación se ha iniciado.	{args: "0"}
24760750  	I   	Operativo           	10053   	Recuperación ejecutada                  	2023-07-24 20:00:47 	El movimiento de recuperación se ha ejecutado en su totalidad.	{args: "0"}
24760751  	I   	Operativo           	10151   	Programa iniciado                       	2023-07-24 20:00:47 	La ejecución de la tarea T_ROB1 ha empezado por la primera instrucción de la rutina de entrada de la tarea. El origen es un cliente externo.	{args: "1", "T_ROB1"}
24760752  	W   	Programa            	41555   	No hay comunicación con la unidad       	2023-07-24 20:00:50 	Tarea: T_ROB1Se ha perdido el contacto con la unidad Tarjeta_1. Ref. de programa /LOGICA/R_INIT_SIG/Reset/81	{args: "T_ROB1", "Tarjeta_1", "/LOGICA/R_INIT_SIG/Reset/81", "ERR_NORUNUNIT"}
24760753  	E   	Programa            	41555   	No hay comunicación con la unidad       	2023-07-24 20:00:50 	Tarea: T_ROB1Se ha perdido el contacto con la unidad Tarjeta_1. Ref. de programa /LOGICA/R_INIT_SIG/Reset/81	{args: "T_ROB1", "Tarjeta_1", "/LOGICA/R_INIT_SIG/Reset/81", "ERR_NORUNUNIT"}
24760754  	E   	Programa            	40228   	Error de ejecución                      	2023-07-24 20:00:50 	La ejecución de la tarea T_ROB1 ha sido detenida por un error de tiempo de ejecución 41555. 	{args: "T_ROB1", "41555"}
24760755  	I   	Operativo           	10020   	Estado de error de ejecución            	2023-07-24 20:00:50 	La ejecución del programa de la tarea T_ROB1 se ha detenido a causa de un error espontáneo.	{args: "1", "T_ROB1"}
24760756  	I   	Operativo           	10126   	Programa detenido                       	2023-07-24 20:00:50 	La tarea T_ROB1 se ha detenido. Se debe a que se ha producido un error.	{args: "1", "T_ROB1"}
24760757  	I   	Operativo           	10002   	Puntero de programa restablecido        	2023-07-24 20:02:04 	El puntero de programa de la tarea T_ROB1 se ha restablecido.	{args: "1", "0", "T_ROB1"}
24760758  	I   	Operativo           	10021   	Restablecimiento de error de ejecución  	2023-07-24 20:02:04 	 La ejecución del programa de la tarea T_ROB1 ha abandonado el estado de error espontáneo. 	{args: "1", "T_ROB1"}
24760759  	I   	Operativo           	10052   	Inicio de recuperación                  	2023-07-24 20:02:07 	El movimiento de recuperación se ha iniciado.	{args: "0"}
24760760  	I   	Operativo           	10053   	Recuperación ejecutada                  	2023-07-24 20:02:07 	El movimiento de recuperación se ha ejecutado en su totalidad.	{args: "0"}
24760761  	I   	Operativo           	10151   	Programa iniciado                       	2023-07-24 20:02:07 	La ejecución de la tarea T_ROB1 ha empezado por la primera instrucción de la rutina de entrada de la tarea. El origen es un cliente externo.	{args: "1", "T_ROB1"}
24760762  	W   	Programa            	41555   	No hay comunicación con la unidad       	2023-07-24 20:02:12 	Tarea: T_ROB1Se ha perdido el contacto con la unidad Tarjeta_1. Ref. de programa /LOGICA/R_INIT_SIG/Reset/81	{args: "T_ROB1", "Tarjeta_1", "/LOGICA/R_INIT_SIG/Reset/81", "ERR_NORUNUNIT"}
24760763  	E   	Programa            	41555   	No hay comunicación con la unidad       	2023-07-24 20:02:12 	Tarea: T_ROB1Se ha perdido el contacto con la unidad Tarjeta_1. Ref. de programa /LOGICA/R_INIT_SIG/Reset/81	{args: "T_ROB1", "Tarjeta_1", "/LOGICA/R_INIT_SIG/Reset/81", "ERR_NORUNUNIT"}
24760764  	E   	Programa            	40228   	Error de ejecución                      	2023-07-24 20:02:12 	La ejecución de la tarea T_ROB1 ha sido detenida por un error de tiempo de ejecución 41555. 	{args: "T_ROB1", "41555"}
24760765  	I   	Operativo           	10020   	Estado de error de ejecución            	2023-07-24 20:02:12 	La ejecución del programa de la tarea T_ROB1 se ha detenido a causa de un error espontáneo.	{args: "1", "T_ROB1"}
24760766  	I   	Operativo           	10126   	Programa detenido                       	2023-07-24 20:02:12 	La tarea T_ROB1 se ha detenido. Se debe a que se ha producido un error.	{args: "1", "T_ROB1"}
24760767  	I   	Operativo           	10015   	Modo manual seleccionado                	2023-07-24 20:04:22 	El sistema se encuentra en el modo manual.	{args: }
24760768  	I   	Operativo           	10012   	Estado de paro protegido                	2023-07-24 20:04:22 	El sistema se encuentra en el estado de paro protegido. Entra en este estado después de pasar del modo automático al manual o si el circuito Motores ON ha sido abierto por un paro de emergencia, un paro general, un paro automático o un paro superior.	{args: }
24760769  	I   	Operativo           	10016   	Modo automático solicitado              	2023-07-24 20:04:30 	Se ha solicitado al sistema que pase al modo automático.	{args: }
24760770  	I   	Operativo           	10010   	Estado de Motores OFF                   	2023-07-24 20:04:30 	El sistema se encuentra en el estado Motores OFF. Entra en este estado después de pasar del modo manual al automático o si el circuito Motores ON se ha abierto durante la ejecución del programa.	{args: }
24760771  	I   	Operativo           	10017   	Modo automático confirmado              	2023-07-24 20:04:33 	El sistema se encuentra en el modo automático.	{args: }
24760772  	I   	Operativo           	10002   	Puntero de programa restablecido        	2023-07-24 20:04:37 	El puntero de programa de la tarea T_ROB1 se ha restablecido.	{args: "1", "0", "T_ROB1"}
24760773  	I   	Operativo           	10021   	Restablecimiento de error de ejecución  	2023-07-24 20:04:37 	 La ejecución del programa de la tarea T_ROB1 ha abandonado el estado de error espontáneo. 	{args: "1", "T_ROB1"}
24760774  	I   	Operativo           	10011   	Estado de Motores ON                    	2023-07-24 20:04:39 	El sistema se encuentra en el estado Motores ON.	{args: }
24760775  	I   	Operativo           	10052   	Inicio de recuperación                  	2023-07-24 20:04:39 	El movimiento de recuperación se ha iniciado.	{args: "0"}
24760776  	I   	Operativo           	10053   	Recuperación ejecutada                  	2023-07-24 20:04:39 	El movimiento de recuperación se ha ejecutado en su totalidad.	{args: "0"}
24760777  	I   	Operativo           	10151   	Programa iniciado                       	2023-07-24 20:04:39 	La ejecución de la tarea T_ROB1 ha empezado por la primera instrucción de la rutina de entrada de la tarea. El origen es un cliente externo.	{args: "1", "T_ROB1"}
24760778  	W   	Programa            	41555   	No hay comunicación con la unidad       	2023-07-24 20:04:45 	Tarea: T_ROB1Se ha perdido el contacto con la unidad Tarjeta_1. Ref. de programa /LOGICA/R_INIT_SIG/Reset/81	{args: "T_ROB1", "Tarjeta_1", "/LOGICA/R_INIT_SIG/Reset/81", "ERR_NORUNUNIT"}
24760779  	E   	Programa            	41555   	No hay comunicación con la unidad       	2023-07-24 20:04:45 	Tarea: T_ROB1Se ha perdido el contacto con la unidad Tarjeta_1. Ref. de programa /LOGICA/R_INIT_SIG/Reset/81	{args: "T_ROB1", "Tarjeta_1", "/LOGICA/R_INIT_SIG/Reset/81", "ERR_NORUNUNIT"}
24760780  	E   	Programa            	40228   	Error de ejecución                      	2023-07-24 20:04:45 	La ejecución de la tarea T_ROB1 ha sido detenida por un error de tiempo de ejecución 41555. 	{args: "T_ROB1", "41555"}
24760781  	I   	Operativo           	10020   	Estado de error de ejecución            	2023-07-24 20:04:45 	La ejecución del programa de la tarea T_ROB1 se ha detenido a causa de un error espontáneo.	{args: "1", "T_ROB1"}
24760782  	I   	Operativo           	10126   	Programa detenido                       	2023-07-24 20:04:45 	La tarea T_ROB1 se ha detenido. Se debe a que se ha producido un error.	{args: "1", "T_ROB1"}
24760783  	I   	Operativo           	10021   	Restablecimiento de error de ejecución  	2023-07-24 20:04:47 	 La ejecución del programa de la tarea T_ROB1 ha abandonado el estado de error espontáneo. 	{args: "1", "T_ROB1"}
24760784  	I   	Operativo           	10052   	Inicio de recuperación                  	2023-07-24 20:04:47 	El movimiento de recuperación se ha iniciado.	{args: "0"}
24760785  	I   	Operativo           	10053   	Recuperación ejecutada                  	2023-07-24 20:04:47 	El movimiento de recuperación se ha ejecutado en su totalidad.	{args: "0"}
24760786  	I   	Operativo           	10156   	Programa reiniciado                     	2023-07-24 20:04:47 	La ejecución de la tarea T_ROB1 se ha reanudado en el mismo punto en el que se detuvo anteriormente. El origen es un cliente externo.	{args: "1", "T_ROB1"}
24760787  	W   	Programa            	41555   	No hay comunicación con la unidad       	2023-07-24 20:04:47 	Tarea: T_ROB1Se ha perdido el contacto con la unidad Tarjeta_1. Ref. de programa /LOGICA/R_INIT_SIG/Reset/81	{args: "T_ROB1", "Tarjeta_1", "/LOGICA/R_INIT_SIG/Reset/81", "ERR_NORUNUNIT"}
24760788  	E   	Programa            	41555   	No hay comunicación con la unidad       	2023-07-24 20:04:47 	Tarea: T_ROB1Se ha perdido el contacto con la unidad Tarjeta_1. Ref. de programa /LOGICA/R_INIT_SIG/Reset/81	{args: "T_ROB1", "Tarjeta_1", "/LOGICA/R_INIT_SIG/Reset/81", "ERR_NORUNUNIT"}
24760789  	E   	Programa            	40228   	Error de ejecución                      	2023-07-24 20:04:47 	La ejecución de la tarea T_ROB1 ha sido detenida por un error de tiempo de ejecución 41555. 	{args: "T_ROB1", "41555"}
24760790  	I   	Operativo           	10020   	Estado de error de ejecución            	2023-07-24 20:04:47 	La ejecución del programa de la tarea T_ROB1 se ha detenido a causa de un error espontáneo.	{args: "1", "T_ROB1"}
24760791  	I   	Operativo           	10126   	Programa detenido                       	2023-07-24 20:04:47 	La tarea T_ROB1 se ha detenido. Se debe a que se ha producido un error.	{args: "1", "T_ROB1"}
24760792  	I   	Operativo           	10045   	Sistema reiniciado                      	2023-07-24 20:32:01 	Se ha reiniciado un sistema ya instalado.	{args: }
24760793  	W   	E/S y comunicación  	71300   	Aviso de comunicación de bus DeviceNet  	2023-07-24 20:32:25 	Se ha producido un número reducido de errores en el bus DeviceNet <DeviceNet1>. 	{args: "DeviceNet1"}
24760794  	E   	E/S y comunicación  	71299   	Sin alimentación en el bus de DeviceNet 	2023-07-24 20:32:25 	Falta la alimentación de 24 V proveniente de la fuente de alimentación de DeviceNet.	{args: "DeviceNet1"}
24760795  	E   	E/S y comunicación  	71301   	Bus desconectado, fallo de comunicación del bus DeviceNet	2023-07-24 20:32:25 	Se ha producido un número elevado de errores en el bus DeviceNet <DeviceNet1>. 	{args: "DeviceNet1"}
24760797  	I   	Operativo           	10012   	Estado de paro protegido                	2023-07-24 20:32:34 	El sistema se encuentra en el estado de paro protegido. Entra en este estado después de pasar del modo automático al manual o si el circuito Motores ON ha sido abierto por un paro de emergencia, un paro general, un paro automático o un paro superior.	{args: }
24760798  	I   	Operativo           	10015   	Modo manual seleccionado                	2023-07-24 20:32:34 	El sistema se encuentra en el modo manual.	{args: }
24760799  	I   	Operativo           	10155   	Programa reiniciado                     	2023-07-24 20:32:34 	La ejecución de la tarea T_ROB1 se ha reanudado en el mismo punto en el que se detuvo anteriormente. No fue posible determinar el origen.	{args: "1", "T_ROB1"}
24760800  	I   	Operativo           	10002   	Puntero de programa restablecido        	2023-07-24 20:32:34 	El puntero de programa de la tarea Supervison se ha restablecido.	{args: "2", "0", "Supervison"}
24760801  	I   	Operativo           	10150   	Programa iniciado                       	2023-07-24 20:32:34 	La ejecución de la tarea Supervison ha empezado por la primera instrucción de la rutina de entrada de la tarea. No fue posible determinar el origen.	{args: "2", "Supervison"}
24760802  	E   	Operativo           	10106   	Mensaje de servicio                     	2023-07-24 20:32:35 	Ha llegado el momento de realizar el servicio técnico del robot ROB_1 porque han transcurrido 458 días desde el último servicio técnico.	{args: "458", "ROB_1"}
24760803  	I   	Operativo           	10129   	Programa detenido                       	2023-07-24 20:32:35 	La tarea T_ROB1 se ha detenido. Se debe a que la rutina de evento de RESET o POWER_ON se ha ejecutado en su totalidad.	{args: "1", "T_ROB1"}
24760804  	I   	Operativo           	10016   	Modo automático solicitado              	2023-07-24 20:33:30 	Se ha solicitado al sistema que pase al modo automático.	{args: }
24760805  	I   	Operativo           	10010   	Estado de Motores OFF                   	2023-07-24 20:33:30 	El sistema se encuentra en el estado Motores OFF. Entra en este estado después de pasar del modo manual al automático o si el circuito Motores ON se ha abierto durante la ejecución del programa.	{args: }
24760806  	I   	Operativo           	10017   	Modo automático confirmado              	2023-07-24 20:33:32 	El sistema se encuentra en el modo automático.	{args: }
24760807  	I   	Operativo           	10011   	Estado de Motores ON                    	2023-07-24 20:33:38 	El sistema se encuentra en el estado Motores ON.	{args: }
24760808  	I   	Operativo           	10052   	Inicio de recuperación                  	2023-07-24 20:33:39 	El movimiento de recuperación se ha iniciado.	{args: "0"}
24760809  	I   	Operativo           	10053   	Recuperación ejecutada                  	2023-07-24 20:33:39 	El movimiento de recuperación se ha ejecutado en su totalidad.	{args: "0"}
24760810  	I   	Operativo           	10156   	Programa reiniciado                     	2023-07-24 20:33:39 	La ejecución de la tarea T_ROB1 se ha reanudado en el mismo punto en el que se detuvo anteriormente. El origen es un cliente externo.	{args: "1", "T_ROB1"}
24760811  	W   	Programa            	41555   	No hay comunicación con la unidad       	2023-07-24 20:33:39 	Tarea: T_ROB1Se ha perdido el contacto con la unidad Tarjeta_1. Ref. de programa /LOGICA/R_INIT_SIG/Reset/81	{args: "T_ROB1", "Tarjeta_1", "/LOGICA/R_INIT_SIG/Reset/81", "ERR_NORUNUNIT"}
24760812  	E   	Programa            	41555   	No hay comunicación con la unidad       	2023-07-24 20:33:39 	Tarea: T_ROB1Se ha perdido el contacto con la unidad Tarjeta_1. Ref. de programa /LOGICA/R_INIT_SIG/Reset/81	{args: "T_ROB1", "Tarjeta_1", "/LOGICA/R_INIT_SIG/Reset/81", "ERR_NORUNUNIT"}
24760813  	E   	Programa            	40228   	Error de ejecución                      	2023-07-24 20:33:39 	La ejecución de la tarea T_ROB1 ha sido detenida por un error de tiempo de ejecución 41555. 	{args: "T_ROB1", "41555"}
24760814  	I   	Operativo           	10020   	Estado de error de ejecución            	2023-07-24 20:33:39 	La ejecución del programa de la tarea T_ROB1 se ha detenido a causa de un error espontáneo.	{args: "1", "T_ROB1"}
24760815  	I   	Operativo           	10126   	Programa detenido                       	2023-07-24 20:33:39 	La tarea T_ROB1 se ha detenido. Se debe a que se ha producido un error.	{args: "1", "T_ROB1"}
24760816  	I   	Operativo           	10002   	Puntero de programa restablecido        	2023-07-24 20:34:48 	El puntero de programa de la tarea T_ROB1 se ha restablecido.	{args: "1", "0", "T_ROB1"}
24760817  	I   	Operativo           	10021   	Restablecimiento de error de ejecución  	2023-07-24 20:34:48 	 La ejecución del programa de la tarea T_ROB1 ha abandonado el estado de error espontáneo. 	{args: "1", "T_ROB1"}
24760818  	I   	Operativo           	10052   	Inicio de recuperación                  	2023-07-24 20:34:53 	El movimiento de recuperación se ha iniciado.	{args: "0"}
24760819  	I   	Operativo           	10053   	Recuperación ejecutada                  	2023-07-24 20:34:53 	El movimiento de recuperación se ha ejecutado en su totalidad.	{args: "0"}
24760820  	I   	Operativo           	10151   	Programa iniciado                       	2023-07-24 20:34:53 	La ejecución de la tarea T_ROB1 ha empezado por la primera instrucción de la rutina de entrada de la tarea. El origen es un cliente externo.	{args: "1", "T_ROB1"}
24760821  	W   	Programa            	41555   	No hay comunicación con la unidad       	2023-07-24 20:35:04 	Tarea: T_ROB1Se ha perdido el contacto con la unidad Tarjeta_1. Ref. de programa /MainModule/main/Rearme/25	{args: "T_ROB1", "Tarjeta_1", "/MainModule/main/Rearme/25", "ERR_NORUNUNIT"}
24760822  	E   	Programa            	41555   	No hay comunicación con la unidad       	2023-07-24 20:35:04 	Tarea: T_ROB1Se ha perdido el contacto con la unidad Tarjeta_1. Ref. de programa /MainModule/main/Rearme/25	{args: "T_ROB1", "Tarjeta_1", "/MainModule/main/Rearme/25", "ERR_NORUNUNIT"}
